HUC,REF_SITE_NO,DATE,COUNTY,PROJECT,WATERWAY,COMMONLOC,ROAD_NO,RIVER_BASIN,STATE,LATITUDE,LONGITUDE,COLLECTORS,SITE_COMMENTS,SCI_NAME,SCI_CLEAN
,8660,10/02/01,JOHNSTON,NCDWQ,HANNAH CR,SR 1009,,ATL:NEU4,NC,35.3681,-78.3083,NCDWQ,,Physa acuta,Physa acuta
,6892,08/03/95,JOHNSTON,NCDWQ,NEUSE R,"SR 1201, nr Princeton",,ATL:NEU2,NC,35.3756,-78.1992,NCDWQ,,Physa acuta,Physa acuta
,011017.4ahf,10/17/01,Johnston,Johnston County Inventory,Hannah Creek,Thompson Road,SR 1150,ATL:Neuse,NC,35.3808,-78.4015,"A.H. Fullerton, J.M. Smith",salamanders present; alligator weed is patchy uncommon; great for mussels and electroshocking in backwater; lots of algae; pretty site,Physa acuta,Physa acuta
,9555,02/08/05,JOHNSTON,NCDWQ,HANNAH CR,SR 1159,,ATL:,NC,35.4028,-78.4597,NCDWQ,,Physa acuta,Physa acuta
,011016.5ahf,10/16/01,Johnston,Johnston County Inventory,Bawdy Creek,Baker's Chapel Rd,SR 2523,ATL:Neuse,NC,35.4374,-78.2221,"A.H. Fullerton, J.M. Smith",AHF sampled upstream (including trib to left) & JMS downstream; very gush and smells like animal feces in sediment; trees dense new growth,Physa acuta,Physa acuta
,980804.4jaj,08/28/01,Johnston,Carolina Madtom,Little River,Rains Mill Road,SR 1002+,ATL:Neuse,NC,35.4725,-78.1335,"B.T. Watson, R.B. Lee, J.A. Johnson, A.H. Fullerton, J.M. Smith","Electroshocked with seine from sand bar upstream to bridge.  Total time is for crayfish, snails, and clams.  See reference site (also 010828.1-2jaj) for site desciption and mussel data.",Physa acuta,Physa acuta
,011017.6ahf,10/17/01,Johnston,Johnston County Inventory,Black Creek,Wilmington Road,SR 1330,ATL:Neuse,NC,35.4740,-78.5116,"A.H. Fullerton, J.M. Smith",good site to electroshock and for mussels; banks covered with concrete all down sides; a lot of aquatic vegetation on sides (good habitat,Physa acuta,Physa acuta
,010828.2jaj,08/28/01,Johnston,WRC-DOT,Little River,Rain's Mill,SR 1002,ATL:Neuse,NC,35.4785,-78.1383,"B.T. Watson, R.B. Lee, J.A. Johnson, A.H. Fullerton, J.M. Smith",Old Dam Site,Physa acuta,Physa acuta
,011025.3ahf,10/25/01,Johnston,Johnston County Inventory,Black Creek,Old Fairground Road,SR 1309,ATL:Neuse,NC,35.4844,-78.6068,"A.H. Fullerton, J.M. Smith",could look for mussels and electroshck but have to walk back on edge b/c deeper by bridge,Physa acuta,Physa acuta
,011025.1ahf,10/25/01,Johnston,Johnston County Inventory,Middle Creek,NC 210,NC 210,ATL:Neuse,NC,35.5078,-78.4016,"A.H. Fullerton, J.M. Smith",burrow holes in streambank,Physa acuta,Physa acuta
,4118,07/08/87,JOHNSTON,NCDWQ,LITTLE R,SR 2320,,ATL:NEU6,NC,35.5111,-78.1600,NCDWQ,,Physa acuta,Physa acuta
,31620,01/01/92,Johnston,NCSM,,"Swift Creek, NC 210. Station 3.[ Powhatan quad.]",,ATL:Neuse R.,NC,35.5124,-78.3844,JRD Flowers,Collector's coordinates ca. 0.5 mi SSW Swift Creek at NC 210.,Physa acuta,Physa acuta
,011025.2ahf,10/25/01,Johnston,Johnston County Inventory,Middle Creek,Byrd Road(map)/Smith Road,SR 1507,ATL:Neuse,NC,35.5227,-78.4870,"A.H. Fullerton, J.M. Smith",air temp. 76; too deep to electroshock or look for mussels (drops off to over head right away); sampled disconnected ditches- all animals found there; house built right beside stream; ponds/swamp on either side,Physa acuta,Physa acuta
,31643,01/01/04,Johnston,NCSM,,"Swift Creek, SR 1501. Station 5. [Powhatan quad.]",,ATL:Neuse R.,NC,35.5308,-78.3948,JRD Flowers,"Collector's coordinates ca. 1.0 mi SSE Swift Creek at SR 1501, according to DeLorme TopoUSA.",Physa acuta,Physa acuta
,6015,09/15/92,JOHNSTON,NCDWQ,MILL CR,"US 70A, Selma",,ATL:NEU2,NC,35.5483,-78.3119,NCDWQ,,Physa acuta,Physa acuta
,31623,01/01/92,Johnston,NCSM,,Swift Creek at SR 1643. Station 15. [Powhatan quad.],,ATL:Neuse R.,NC,35.5575,-78.4661,JRD Flowers,Collector's coordinates are ca. 0.4 mi E of SR 1643 (Swift Creek Drive).,Physa acuta,Physa acuta
,31626,01/01/92,Johnston,NCSM,,Swift Creek at SR 1562. Station 12. [Powhatan quad].,,ATL:Neuse R.,NC,35.5595,-78.4360,JRD Flowers,"Collector's coordinates are ca. 1.8 mi ENE the southernmost intersection of Swift Cr and SR 1562 and ca. 1.4 mi ESE the northernmost intersection of Swift Cr and SR 1562, according to DeLorme TopoUSA. Collection point is closer to Swift Cr at SR 1563, but",Physa acuta,Physa acuta
,980804.1jaj,08/04/98,Johnston,Endangered Species,Little River,,SR 2339+,ATL:Neuse,NC,35.5599,-78.1598,"S.E. Kopplin, S.G. Brady, J.A. Johnson",Left downstream bank has 1 layer of young saplings as buffer to clear cut.,Physa acuta,Physa acuta
,31621,01/01/92,Johnston,NCSM,,Swift Creek at NC [SR] 1010. Station 17. [Powhatan quad.],,ATL:Neuse R.,NC,35.5622,-78.4805,JRD Flowers,"Swift Cr does not intersect SR 1010, but runs parallel.",Physa acuta,Physa acuta
,31650,01/01/92,Johnston,NCSM,,Cooper Branch at SR 1563. Station 59. [Powhatan quad].,,ATL:Neuse R.,NC,35.5643,-78.4160,JRD Flowers,Collector's coordinates are 0.5 mi NNE Cooper Br at SR 1563 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31629,01/01/92,Johnston,NCSM,,"Swift Creek, Sterling Drive. Station 18. [Powhatan quad.]",,ATL:Neuse R.,NC,35.5671,-78.4888,JRD Flowers,Collector's coordinates ca. 0.3 mi SW end of Sterling Dr.,Physa acuta,Physa acuta
,31622,01/01/92,Johnston,NCSM,,Swift Creek at SR 1643. Station 16. [Powhatan quad.],,ATL:Neuse R.,NC,35.5692,-78.5122,JRD Flowers,Collector's coordinates are ca. 0.2 mi NE end of SR 1643 (Swift Creek Drive).,Physa acuta,Physa acuta
,5346,07/13/90,JOHNSTON,NCDWQ,MIDDLE CR,NC 50,,ATL:NEU3,NC,35.5700,-78.5917,NCDWQ,,Physa acuta,Physa acuta
,31667,01/01/92,Johnston,NCSM,,"Tributary of Swift Creek, SR 1526. Station 127. [Edmondson quad.]",,ATL:Neuse R.,NC,35.5750,-78.5126,JRD Flowers,,Physa acuta,Physa acuta
,31631,01/01/92,Johnston,NCSM,,"Swift Creek, SR 1525. Station 20. [Edmondson quad.]",,ATL:Neuse R.,NC,35.5774,-78.5055,JRD Flowers,Collector's coordinates are ca. 2.3 mi SE Swift Cr at SR 1525.,Physa acuta,Physa acuta
,31662,01/01/92,Johnston,NCSM,,Tributary of Little Creek at SR 1563 and pipeline. Station 64. [Powhatan quad.],,ATL:Neuse R.,NC,35.5839,-78.4517,JRD Flowers,Collector's coordinates  are 137 ft W of Little Creek and ca. 0.7 mi W of SR 1563 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31653,01/01/92,Johnston,NCSM,,Cooper Branch at SR 1575. Station 61. [Powhatan quad.],,ATL:Neuse R.,NC,35.5884,-78.4241,JRD Flowers,Collector's coordinates are 576 ft SSW Cooper Br at SR 1575 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,011016.3ahf,10/16/01,Johnston,Johnston County Inventory,Little River,Old Beulah Rd,SR 1934,ATL:Neuse,NC,35.5894,-78.1885,"A.H. Fullerton, J.M. Smith","saw small striped fish (not darter) that could be yellow perch, n hogsucker, or Carolina madtom; air temp 67 F; good place to snorkel or shock (below dam downstream); Posted J. Montgomery 919-284-4075; pesticide cans in water",Physa acuta,Physa acuta
,31634,01/01/92,Johnston,NCSM,,"Swift Creek, SR 1525. Station 23. [Edmondson quad.]",,ATL:Neuse R.,NC,35.5946,-78.5220,JRD Flowers,Collector's coordinates are ca. 0.85 mi SE Swift Cr at SR 1525.,Physa acuta,Physa acuta
,31690,01/01/92,Johnston,NCSM,,"Tributary of Swift Creek,  SR 1556. Station 78. [Edmondson quad.]",,ATL:Neuse R.,NC,35.5978,-78.5081,JRD Flowers,,Physa acuta,Physa acuta
,31681,01/01/92,Johnston,NCSM,,Tributary of Little Creek at SR 1560. Station 65A. [Powhatan quad.],,ATL:Neuse R.,NC,35.6064,-78.4668,JRD Flowers,Collector's coordinates are ca. 441 ft SSE point of collection according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,980728.4jaj,07/28/98,Johnston,Endangered Species,Little River,,SR 2130+,ATL:Neuse,NC,35.6070,-78.2064,"S.E. Kopplin, S.G. Brady, J.A. Johnson","Right downstream bank is a field with one layer of trees as buffer, left downstream bank is immature woods.",Physa acuta,Physa acuta
,011016.2ahf,10/16/01,Johnston,Johnston County Inventory,Buffalo Creek,,NC 39,ATL:Neuse,NC,35.6090,-78.2587,"A.H. Fullerton, J.M. Smith",air temp 76 F; POSTED both sides but no houses nearby,Physa acuta,Physa acuta
,31652,01/01/92,Johnston,NCSM,,"Tributary of Little Creek, SR 1608. Station 66. [Powhatan quad.]",,ATL:Neuse R.,NC,35.6123,-78.4515,JRD Flowers,Collector's coordinates ca. 0.5 mi S SR 1608.,Physa acuta,Physa acuta
,31633,01/01/92,Johnston,NCSM,,"Swift Creek, NC 42. Station 27. [Edmondson quad.]",,ATL:Neuse R.,NC,35.6153,-78.5501,JRD Flowers,Collector's coordinates ca. 902 ft NNW of Swift Cr at NC 42 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,6016,09/15/92,JOHNSTON,NCDWQ,UT WILSON MILLS,SR 1903,,ATL:NEU2,NC,35.6194,-78.3658,NCDWQ,,Physa acuta,Physa acuta
,971013.1jaj,10/13/97,Johnston,Endangered Species,Swift Creek,,I-40+,ATL:Neuse,NC,35.6205,-78.5620,"J.A. Johnson, J.M. Alderman",,Physa acuta,Physa acuta
,31649,01/01/92,Johnston,NCSM,,"Little Creek, Hidden Hills Rd. Station 68.",,ATL:Neuse R.,NC,35.6216,-78.4621,JRD Flowers,"Unable to confirm coordinates, not found on maps.",Physa acuta,Physa acuta
,31700,01/01/92,Johnston,NCSM,,"Tributary of Little Creek, SR 1555. Station 74. [Clayton quad.]",,ATL:Neuse R.,NC,35.6304,-78.4763,JRD Flowers,Collector's coordinates ca. 369 ft E of stream crossing SR 1555 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31664,01/01/92,Johnston,NCSM,,"Little Creek, Brittany Dr. Station 69. [Clayton quad.]",,ATL:Neuse R.,NC,35.6344,-78.4620,JRD Flowers,,Physa acuta,Physa acuta
,6902,07/27/95,JOHNSTON,NCDWQ,NEUSE R,"NC 42, Clayton",,ATL:NEU2,NC,35.6472,-78.4058,NCDWQ,,Physa acuta,Physa acuta
,31656,01/01/92,Johnston,NCSM,,White Oak Creek at SR 1550. Station 81. [Garner quad.],,ATL:Neuse R.,NC,35.6502,-78.5241,JRD Flowers,Collector's coordinates are ca. 0.8 mi N Whiteoak Cr at SR 1550 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31682,01/01/92,Johnston,NCSM,,Little Creek at SR 1553. Station 71. [Clayton quad].,,ATL:Neuse R.,NC,35.6546,-78.4807,JRD Flowers,Collector's coordinates ca. 243 ft SE Little Cr at SR 1553 according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31669,01/01/92,Johnston,NCSM,,"Little Creek, Lightfoot Rd and powerlines. Station 72. [Clayton quad.]",,ATL:Neuse R.,NC,35.6553,-78.4946,JRD Flowers,Collector's coordinates are 215 ft south of creek according to DeLorme TopoUSA.,Physa acuta,Physa acuta
,31659,01/01/92,Johnston,NCSM,,"Little Creek, NCSU Research Station. Station 73. [Garner quad].",,ATL:Neuse R.,NC,35.6628,-78.5101,JRD Flowers,,Physa acuta,Physa acuta
,011016.1ahf,10/16/01,Johnston,Johnston County Inventory,Buffalo Creek,Covered Bridge Rd,SR 1700,ATL:Neuse,NC,35.6965,-78.3437,"A.H. Fullerton, J.M. Smith","sampled backwater, side channel, and edge of main channel",Physa acuta,Physa acuta
,011025.1ahf,10/25/01,Johnston,Johnston County Inventory,Middle Creek,NC 210,NC 210,ATL:Neuse,NC,35.5078,-78.4016,"A.H. Fullerton, J.M. Smith",burrow holes in streambank,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,980811.2jaj,08/28/01,Johnston,Carolina Madtom,Little River,Rains X-Roads,SR 2320+,ATL:Neuse,NC,35.5100,-78.1720,"B.T. Watson, R.B. Lee, J.A. Johnson, A.H. Fullerton, J.M. Smith",Walked downstream and electroshocked stretches of run towards bridge.  See reference site for site description and mussel data.,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,8325,10/02/00,JOHNSTON,NCDWQ,SWIFT CR,SR 1501,,ATL:NEU2,NC,35.5444,-78.3978,NCDWQ,,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,010921.3jaj,09/21/01,Johnston,Endangered Species,Swift Creek,Barbour Mill to Swift Creek Rd.,SR 1555 to SR 1643,ATL:Neuse,NC,35.5667,-78.4886,"J.A. Johnson, T.W. Savidge, J.S. Gray, A. Medori",Untimed search; snagged,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,980722.2jaj,07/22/98,Johnston,Endangered Species,Little River,,SR 2130-,ATL:Neuse,NC,35.6110,-78.2136,"S.E. Kopplin, S.G. Brady, J.A. Johnson",,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,980720.2jaj,07/20/98,Johnston,Endangered Species,Little River,,SR 2123+,ATL:Neuse,NC,35.6445,-78.2261,"T. B. Kenney, S.E. Kopplin, S.G. Brady, J.A. Johnson",,Pleurocera catenaria catenaria,Pleurocera catenaria catenaria
,30167,01/01/01,Johnston,NCSM,,"Middle Creek @ NC 210, [3.3 air miles west of center of Smithfield], [Powhatan Quad.]",,ATL:Neuse R.,NC,35.5078,-78.4016,"AH Fullerton, JM Smith","burrow holes in streambank; Habitat: sand, pebble",Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,4989,07/11/89,JOHNSTON,NCDWQ,LITTLE R,SR 2320,,ATL:NEU6,NC,35.5111,-78.1600,NCDWQ,,Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,31285,01/01/92,Johnston,NCSM,,Swift Creek at SR 1562. Station 13A. [Powhatan quad.],,ATL:Neuse R.,NC,35.5568,-78.4466,JRD Flowers,"Collector's coordinates are ca. 0.8 mi NE the southernmost intersection of Swift Cr and SR 1562 and ca. 1.1 mi SE the northernmost intersection of Swift Cr and SR 1562, according to DeLorme TopoUSA.",Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,31287,01/01/92,Johnston,NCSM,,Swift Creek at SR 1643. Station 15. [Powhatan quad.],,ATL:Neuse R.,NC,35.5575,-78.4661,JRD Flowers,Collector's coordinates are ca. 0.4 mi E of SR 1643 (Swift Creek Drive).,Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,6960,08/24/95,JOHNSTON,NCDWQ,LITTLE R,SR 2130,,ATL:,NC,35.6092,-78.2106,NCDWQ,,Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,8325,10/02/00,JOHNSTON,NCDWQ,SWIFT CR,SR 1501,,ATL:NEU2,NC,35.5444,-78.3978,NCDWQ,,Somatogyrus virginicus,Somatogyrus virginicus
,6960,08/24/95,JOHNSTON,NCDWQ,LITTLE R,SR 2130,,ATL:,NC,35.6092,-78.2106,NCDWQ,,Somatogyrus virginicus,Somatogyrus virginicus
,31032,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at NC 231, Site 2. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7293,-78.2076,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,27981,01/01/97,Johnston/Nash,NCSM,,"Moccasin Creek above 1723/1131 bridge, 6.9 km S of Middlesex, [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7300,-78.1901,"EP Keferl, CA O'Brien, J Berger, et al.",Add Collector: R Ingle,Campeloma decisum,Campeloma decisum
,31070,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at SR 1116/2105, Site 2. [Middlesex quad.]",,ATL:Neuse R.,NC,35.7545,-78.2210,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,31073,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at SR 1124/2102, Site 4. [Middlesex quad.]",,ATL:Neuse R.,NC,35.7686,-78.2415,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,31086,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at SR 1120/1723, Site 5. [Middlesex quad.]",,ATL:Neuse R.,NC,35.7792,-78.2483,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,31140,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at SR 1008/US 264 A, Site 2. [Zebulon quad.]",,ATL:Neuse R.,NC,35.8135,-78.2569,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,27983,01/01/97,Johnston/Nash,NCSM,,"Moccasin Creek above 1723/1131 bridge, 6.9 km S of Middlesex, [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7300,-78.1901,"EP Keferl, CA O'Brien, J Berger, et al.",Add Collector: R Ingle,Helisoma anceps,Helisoma anceps
,31507,01/01/93,Johnston/Nash,NCSM,,"Moccasin Creek at NC 231, Site 3. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7293,-78.2076,KW Markham,Locality supposition.,Laevapex fuscus,Laevapex fuscus
,27982,01/01/97,Johnston/Nash,NCSM,,"Moccasin Creek above 1723/1131 bridge, 6.9 km S of Middlesex, [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7300,-78.1901,"EP Keferl, CA O'Brien, J Berger, et al.",Add Collector: R Ingle,Pleurocera virginica,Pleurocera virginica
,31033,01/01/93,Johnston/Wilson,NCSM,,"Moccasin Creek at SR 1131/1733, Site 5. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.1896,-78.1896,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,31029,01/01/93,Johnston/Wilson,NCSM,,"Moccasin Creek, upstream reservoir, Site 2. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.7158,-78.1714,KW Markham,Locality supposition.,Campeloma decisum,Campeloma decisum
,31276,01/01/93,Johnston/Wilson,NCSM,,"Moccasin Creek at SR 1131/1733, Site 5. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.1896,-78.1896,KW Markham,Locality supposition.,Pleurocera catenaria dislocata,Pleurocera catenaria dislocata
,31308,01/01/93,Johnston/Wilson,NCSM,,"Moccasin Creek at SR 1131/1733, Site 4. [Stancils Chapel quad.]",,ATL:Neuse R.,NC,35.1896,-78.1896,KW Markham,Locality supposition.,Pleurocera virginica,Pleurocera virginica
,6918,08/21/95,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Amnicola limosa,Amnicola limosa
,7249,02/25/97,JONES,NCDWQ,BEAVERDAM CR,SR 1002,,ATL:,NC,35.0675,-77.2769,NCDWQ,,Amnicola limosa,Amnicola limosa
,000601.1btw,06/01/00,Jones,White Oak River Game Land,Holston Creek,near Holston Creek Road,NC 58,ATL:White Oak,NC,34.8270,-77.1562,"B.T. Watson, A.H. Fullerton",,Campeloma decisum,Campeloma decisum
,31155,01/01/93,Jones,NCSM,,Tuckahoe Swamp Creek at US 258. [Pink Hill quad.],,ATL:Neuse R.,NC,35.0120,-77.6370,TF Fucigna,,Campeloma decisum,Campeloma decisum
,6915,08/15/95,JONES,NCDWQ,ISLAND CR,SR 1004,,ATL:,NC,35.0267,-77.1356,NCDWQ,,Campeloma decisum,Campeloma decisum
,4098,06/23/87,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Campeloma decisum,Campeloma decisum
,7249,02/25/97,JONES,NCDWQ,BEAVERDAM CR,SR 1002,,ATL:,NC,35.0675,-77.2769,NCDWQ,,Campeloma decisum,Campeloma decisum
,31061,01/01/93,Jones,NCSM,,Musselshell Creek at SR 1319. [Trenton quad.],,ATL:Neuse R.,NC,35.0808,-77.3558,TF Fucigna,,Campeloma decisum,Campeloma decisum
,31156,01/01/93,Jones,NCSM,,Trent River at SR 1300. [Phillips Crossroads quad.],,ATL:Neuse R.,NC,35.1091,-77.4174,TF Fucigna,,Campeloma decisum,Campeloma decisum
,000601.1btw,06/01/00,Jones,White Oak River Game Land,Holston Creek,near Holston Creek Road,NC 58,ATL:White Oak,NC,34.8270,-77.1562,"B.T. Watson, A.H. Fullerton",,Ferrissia fragilis,Ferrissia fragilis
,000531.6btw,05/31/00,Jones,White Oak River Game Land,Black Swamp Creek,NC 58,NC 58,ATL:White Oak,NC,34.8716,-77.1964,"B.T. Watson, A.H. Fullerton",Sampled along edge and in marshy area in floodplain; Lots of gravel/pebble just off edge,Ferrissia fragilis,Ferrissia fragilis
,000531.1btw,05/31/00,Jones,White Oak River Game Land,Great Creek,White Oak River Road,SR 1116-,ATL:White Oak,NC,34.9415,-77.3345,"B.T. Watson, A.H. Fullerton",Beaver activity looked to be old,Ferrissia fragilis,Ferrissia fragilis
,5244,05/02/90,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Gillia altilis,Gillia altilis
,4098,06/23/87,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Gyraulus parvus,Gyraulus parvus
,6918,08/21/95,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Helisoma anceps,Helisoma anceps
,6785,03/20/95,JONES,NCDWQ,TRENT R,US 17,,ATL:,NC,35.0100,-77.2197,NCDWQ,,Helisoma trivolvis,Helisoma trivolvis
,000601.1btw,06/01/00,Jones,White Oak River Game Land,Holston Creek,near Holston Creek Road,NC 58,ATL:White Oak,NC,34.8270,-77.1562,"B.T. Watson, A.H. Fullerton",,Laevapex fuscus,Laevapex fuscus
,6785,03/20/95,JONES,NCDWQ,TRENT R,US 17,,ATL:,NC,35.0100,-77.2197,NCDWQ,,Laevapex fuscus,Laevapex fuscus
,4957,06/26/89,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Laevapex fuscus,Laevapex fuscus
,31058,01/01/93,Jones,NCSM,,Beaver Creek at SR 1315. [Dover quad.],,ATL:Neuse R.,NC,35.1311,-77.4481,TF Fucigna,,Lioplax subcarinata,Lioplax subcarinata
,6660,08/09/94,JONES,NCDWQ,WHITE OAK R,Haywood Lndg,,ATL:WOK1,NC,34.8192,-77.1858,NCDWQ,,Littoridinops tenuipes,Littoridinops tenuipes
,000531.6btw,05/31/00,Jones,White Oak River Game Land,Black Swamp Creek,NC 58,NC 58,ATL:White Oak,NC,34.8716,-77.1964,"B.T. Watson, A.H. Fullerton",Sampled along edge and in marshy area in floodplain; Lots of gravel/pebble just off edge,Lymnaea columella,Lymnaea columella
,000531.1btw,05/31/00,Jones,White Oak River Game Land,Great Creek,White Oak River Road,SR 1116-,ATL:White Oak,NC,34.9415,-77.3345,"B.T. Watson, A.H. Fullerton",Beaver activity looked to be old,Lymnaea columella,Lymnaea columella
,6785,03/20/95,JONES,NCDWQ,TRENT R,US 17,,ATL:,NC,35.0100,-77.2197,NCDWQ,,Lyogyrus granum,Lyogyrus granum
,6918,08/21/95,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Lyogyrus granum,Lyogyrus granum
,000601.1btw,06/01/00,Jones,White Oak River Game Land,Holston Creek,near Holston Creek Road,NC 58,ATL:White Oak,NC,34.8270,-77.1562,"B.T. Watson, A.H. Fullerton",,Menetus dilatatus,Menetus dilatatus
,6785,03/20/95,JONES,NCDWQ,TRENT R,US 17,,ATL:,NC,35.0100,-77.2197,NCDWQ,,Menetus dilatatus,Menetus dilatatus
,5244,05/02/90,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Menetus dilatatus,Menetus dilatatus
,6916,08/15/95,JONES,NCDWQ,MUSSELSHELL CR,SR 1320,,ATL:,NC,35.1072,-77.3300,NCDWQ,,Menetus dilatatus,Menetus dilatatus
,6785,03/20/95,JONES,NCDWQ,TRENT R,US 17,,ATL:,NC,35.0100,-77.2197,NCDWQ,,Physa acuta,Physa acuta
,6915,08/15/95,JONES,NCDWQ,ISLAND CR,SR 1004,,ATL:,NC,35.0267,-77.1356,NCDWQ,,Physa acuta,Physa acuta
,6918,08/21/95,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Physa acuta,Physa acuta
,4098,06/23/87,JONES,NCDWQ,TRENT R,NC 58,,ATL:NEU11,NC,35.0650,-77.4567,NCDWQ,,Physa pomilia,Physa pomilia
,001023.1btw,10/23/00,Jones/Onslow,White Oak River Game Land,White Oak River,Gibson Mill Rd,SR 1118-,ATL:White Oak,NC,34.9188,-77.2622,"B.T. Watson, A.H. Fullerton",Beaverdams upstream @ powerline; narrow buffer by road; sampled upstream until river curves away from road,Amnicola limosa,Amnicola limosa
,001023.1btw,10/23/00,Jones/Onslow,White Oak River Game Land,White Oak River,Gibson Mill Rd,SR 1118-,ATL:White Oak,NC,34.9188,-77.2622,"B.T. Watson, A.H. Fullerton",Beaverdams upstream @ powerline; narrow buffer by road; sampled upstream until river curves away from road,Campeloma decisum,Campeloma decisum
,USNM-701740,10/08/1966,Jones/Onslow,,Whiteoak R.,"6 mi SE of Maysville, at bridge",,ATL:,NC,,,J. R. Bailey,,Campeloma decisum,Campeloma decisum
,001018.1btw,10/18/00,Jones/Onslow,White Oak River Game Land,White Oak River,~100 m south of Emmett/Collins Rd,SR 1117 to SR 1118,ATL:White Oak,NC,34.9308,-77.3444,"B.T. Watson, A.H. Fullerton",lots of mulched woody debris on bottom,Ferrissia fragilis,Ferrissia fragilis
,001018.2btw,10/18/00,Jones/Onslow,White Oak River Game Land,White Oak River,between SR 1117 and 1118,SR 1117 to SR 1118,ATL:White Oak,NC,34.9318,-77.3430,"B.T. Watson, A.H. Fullerton",,Ferrissia fragilis,Ferrissia fragilis
,001018.3btw,10/18/00,Jones/Onslow,White Oak River Game Land,White Oak River,between SR 1117 and 1118,SR 1117 to SR 1118,ATL:White Oak,NC,34.9347,-77.3395,"B.T. Watson, A.H. Fullerton",,Ferrissia fragilis,Ferrissia fragilis
,IMS12843,08/24/95,Jones/Onslow,NCSM,,White Oak River,,ATL:,NC,34.8333,-77.1900,H. J. Porter,Thick submerged grasslike vegetation.,Gyraulus parvus,Gyraulus parvus
,001023.1btw,10/23/00,Jones/Onslow,White Oak River Game Land,White Oak River,Gibson Mill Rd,SR 1118-,ATL:White Oak,NC,34.9188,-77.2622,"B.T. Watson, A.H. Fullerton",Beaverdams upstream @ powerline; narrow buffer by road; sampled upstream until river curves away from road,Laevapex fuscus,Laevapex fuscus
,IMS12850,08/24/95,Jones/Onslow,NCSM,,White Oak River,,ATL:,NC,34.8333,-77.1900,H. J. Porter,Mud about roots pf Pickerelweed.,Littoridinops tenuipes,Littoridinops tenuipes
,IMS12837,05/30/95,Jones/Onslow,NCSM,,White Oak River,,ATL:,NC,34.8200,-77.1883,H. J. Porter & J. Purifoy,Thick submerged vegetation (grass-like);,Menetus dilatatus,Menetus dilatatus
